25-01-2021 11:47:09 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
25-01-2021 11:47:10 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
25-01-2021 11:47:10 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
25-01-2021 11:47:10 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
25-01-2021 11:47:13 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Vigilante_Anand_Global;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Vigilante_Anand_Global 	 
25-01-2021 11:47:14 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
25-01-2021 11:47:14 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
25-01-2021 11:47:14 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
25-01-2021 11:47:14 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
25-01-2021 11:47:14 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
25-01-2021 11:47:14 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 Master Company Updated  	 
25-01-2021 11:47:14 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Vigil_BlankDB;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Vigil_BlankDB 	 
25-01-2021 11:47:24 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
25-01-2021 11:47:24 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
25-01-2021 11:47:24 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
25-01-2021 11:47:24 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
25-01-2021 11:47:24 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
25-01-2021 11:47:24 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 Master Company Updated  	 
25-01-2021 11:47:24 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Vigilante_AniketMig;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Vigilante_AniketMig 	 
25-01-2021 11:47:34 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
25-01-2021 11:47:34 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
25-01-2021 11:47:34 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
25-01-2021 11:47:34 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
25-01-2021 11:47:34 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
