27-01-2021 00:00:32 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 Start Method 	 
27-01-2021 00:00:32 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 End Method 	 
27-01-2021 00:00:33 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 Start Method 	 
27-01-2021 00:00:33 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 End Method 	 
27-01-2021 00:00:33 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 Start Method 	 
27-01-2021 00:00:33 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 New session start - clear session 	 
27-01-2021 00:02:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 Start Method 	 
27-01-2021 00:02:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 End Method 	 
27-01-2021 00:02:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 Start Method 	 
27-01-2021 00:02:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 End Method 	 
27-01-2021 00:02:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 Start Method 	 
27-01-2021 00:02:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 New session start - clear session 	 
27-01-2021 00:02:10 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 Start Method 	 
27-01-2021 00:02:10 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 Application path set for cookies  	 
27-01-2021 00:02:10 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 End Method 	 
27-01-2021 00:13:13 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 Start Method 	 
27-01-2021 00:13:13 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 End Method 	 
27-01-2021 00:13:13 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 Start Method 	 
27-01-2021 00:13:13 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 End Method 	 
27-01-2021 00:13:13 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 Start Method 	 
27-01-2021 00:13:13 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 New session start - clear session 	 
27-01-2021 00:13:20 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 Start Method 	 
27-01-2021 00:13:20 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 Application path set for cookies  	 
27-01-2021 00:13:20 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 End Method 	 
27-01-2021 00:13:56 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 Start Method 	 
27-01-2021 00:13:56 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 End Method 	 
27-01-2021 00:13:56 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 Start Method 	 
27-01-2021 00:13:56 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Session_Start 	  	 End Method 	 
27-01-2021 00:13:56 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 Start Method 	 
27-01-2021 00:13:56 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_AcquireRequestState 	  	 New session start - clear session 	 
27-01-2021 00:14:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 Start Method 	 
27-01-2021 00:14:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 Application path set for cookies  	 
27-01-2021 00:14:03 	 http://localhost:52194/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 End Method 	 
27-01-2021 00:14:21 	 https://localhost:44303/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 Start Method 	 
27-01-2021 00:14:21 	 https://localhost:44303/ 	 InsiderTrading 	 MvcApplication 	 Application_BeginRequest 	  	 End Method 	 
27-01-2021 00:14:45 	 https://localhost:44303/ 	 InsiderTrading 	 MvcApplication 	 Application_Error 	  	 Start method 	 
27-01-2021 00:14:45 	 https://localhost:44303/ 	 InsiderTrading 	 MvcApplication 	 Application_Error 	  	 server exception  	 Exception Message - IDX21323: RequireNonce is '[PII is hidden]'. OpenIdConnectProtocolValidationContext.Nonce was null, OpenIdConnectProtocol.ValidatedIdToken.Payload.Nonce was not null. The nonce cannot be validated. If you don't need to check the nonce, set OpenIdConnectProtocolValidator.RequireNonce to 'false'. Note if a 'nonce' is found it will be evaluated. 	 Exception Trace - Microsoft.IdentityModel.Protocols.OpenIdConnect.OpenIdConnectProtocolInvalidNonceException: IDX21323: RequireNonce is '[PII is hidden]'. OpenIdConnectProtocolValidationContext.Nonce was null, OpenIdConnectProtocol.ValidatedIdToken.Payload.Nonce was not null. The nonce cannot be validated. If you don't need to check the nonce, set OpenIdConnectProtocolValidator.RequireNonce to 'false'. Note if a 'nonce' is found it will be evaluated.
   at Microsoft.IdentityModel.Protocols.OpenIdConnect.OpenIdConnectProtocolValidator.ValidateNonce(OpenIdConnectProtocolValidationContext validationContext)
   at Microsoft.IdentityModel.Protocols.OpenIdConnect.OpenIdConnectProtocolValidator.ValidateAuthenticationResponse(OpenIdConnectProtocolValidationContext validationContext)
   at Microsoft.Owin.Security.OpenIdConnect.OpenIdConnectAuthenticationHandler.<AuthenticateCoreAsync>d__11.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at Microsoft.Owin.Security.OpenIdConnect.OpenIdConnectAuthenticationHandler.<AuthenticateCoreAsync>d__11.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationHandler.<BaseInitializeAsync>d__31.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationMiddleware`1.<Invoke>d__5.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationMiddleware`1.<Invoke>d__5.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.StageAsyncResult.End(IAsyncResult ar)
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.IntegratedPipelineContext.EndFinalWork(IAsyncResult ar)
   at System.Web.HttpApplication.AsyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute()
   at System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step)
   at System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously) 	 
27-01-2021 00:14:45 	 https://localhost:44303/ 	 InsiderTrading 	 MvcApplication 	 Application_Error 	  	 exception status code return as  	 
27-01-2021 00:14:55 	 https://localhost:44303/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 Start Method 	 
27-01-2021 00:14:55 	 https://localhost:44303/ 	 InsiderTrading 	 MvcApplication 	 Application_EndRequest 	  	 End Method 	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Vigilante_Anand_Global;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Vigilante_Anand_Global 	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 Master Company Updated  	 
27-01-2021 00:58:51 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Vigil_BlankDB;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Vigil_BlankDB 	 
27-01-2021 00:59:02 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
27-01-2021 00:59:02 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
27-01-2021 00:59:02 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
27-01-2021 00:59:02 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
27-01-2021 00:59:02 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
27-01-2021 00:59:02 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 Master Company Updated  	 
27-01-2021 00:59:02 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Vigilante_AniketMig;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Vigilante_AniketMig 	 
27-01-2021 00:59:12 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
27-01-2021 00:59:12 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
27-01-2021 00:59:12 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
27-01-2021 00:59:12 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
27-01-2021 00:59:12 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
27-01-2021 00:59:12 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 Master Company Updated  	 
27-01-2021 00:59:12 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Vigilante_RBL;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Vigilante_RBL 	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 Master Company Updated  	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 UpdateCompanyResources method called  Connection string :- data source=P2FS-TS-01;initial catalog=Kotak_Integration;persist security info=True;user id=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; Company name :- Kotak_Integration 	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 UpdateCompanyResources 	  	 All Resources are set  	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 GetSystemConnectionString method called  	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before connection string  	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 Before decrypt connection strng +IyWX8SJvfGsHIDM7C99UPVWmdpnIpoZi6o9Yxnb0/vCUpwhdF526YXZRa6/wjwF+4Y2gXKzDF5/VKcsdyT+EGnQr/Fi/Q3SY3IUji3HBaCvLl1wdyzYpWaavANfOD5QLT/ZBrN9FOrIZCcplnQSJImC3pvjbdMfoEUFD/i7S2pdJlnNuLJAq8fkZcyQ8ko7ffWdk/V9Mto= 	 
27-01-2021 00:59:22 	 InsiderTrading.Common 	 Common 	 getSystemConnectionString 	  	 After Connection string data source=P2FS-TS-01;initial catalog=Vigilante_Master;persist security info=True;User ID=AppUser;Password=@ppUser@123;MultipleActiveResultSets=True; 	 
